Algorithm,train time (min),success ratio,average reach time,Robot
A2C,10.83,0.14,32.36,Reacher 1DoF
ACKTR,8.98,0.16,33.94,Reacher 1DoF
DDPG,31.63,0.07,14.00,Reacher 1DoF
PPO1,9.01,0.17,17.18,Reacher 1DoF
PPO2,9.57,0.09,8.56,Reacher 1DoF
SAC,49.41,0.13,13.85,Reacher 1DoF
TRPO,7.79,0.12,35.42,Reacher 1DoF
TD3,32.42,0.10,21.90,Reacher 1DoF
A2C,12.13,0.15,39.60,Reacher 2DoF
ACKTR,9.83,0.91,42.73,Reacher 2DoF
DDPG,32.68,0.08,18.75,Reacher 2DoF
PPO1,9.80,0.04,23.00,Reacher 2DoF
PPO2,10.18,0.09,35.89,Reacher 2DoF
SAC,45.35,0.50,28.59,Reacher 2DoF
TRPO,8.59,0.01,84.00,Reacher 2DoF
TD3,33.29,0.33,40.64,Reacher 2DoF
A2C,12.34,0.14,41.00,Reacher 3DoF
ACKTR,10.44,0.59,58.35,Reacher 3DoF
DDPG,33.61,0.12,34.17,Reacher 3DoF
PPO1,10.34,0.09,55.22,Reacher 3DoF
PPO2,10.77,0.12,42.58,Reacher 3DoF
SAC,45.61,0.36,49.03,Reacher 3DoF
TRPO,9.09,0.14,54.93,Reacher 3DoF
TD3,34.13,0.13,36.54,Reacher 3DoF
A2C,12.84,0.06,43.67,Reacher 4DoF
ACKTR,10.93,0.13,49.46,Reacher 4DoF
DDPG,34.51,0.08,57.25,Reacher 4DoF
PPO1,10.96,0.08,26.12,Reacher 4DoF
PPO2,11.25,0.07,45.43,Reacher 4DoF
SAC,46.80,0.27,45.15,Reacher 4DoF
TRPO,9.61,0.13,56.54,Reacher 4DoF
TD3,34.59,0.21,45.38,Reacher 4DoF
A2C,13.43,0.12,49.17,Reacher 5DoF
ACKTR,11.46,0.17,74.65,Reacher 5DoF
DDPG,34.73,0.04,32.50,Reacher 5DoF
PPO1,11.49,0.07,43.43,Reacher 5DoF
PPO2,11.85,0.05,55.80,Reacher 5DoF
SAC,47.11,0.22,49.86,Reacher 5DoF
TRPO,10.16,0.06,62.67,Reacher 5DoF
TD3,36.76,0.18,49.22,Reacher 5DoF
A2C,14.47,0.04,60.25,Reacher 6DoF
ACKTR,12.38,0.14,67.86,Reacher 6DoF
DDPG,35.98,0.11,49.82,Reacher 6DoF
PPO1,12.39,0.05,48.00,Reacher 6DoF
PPO2,12.61,0.07,30.71,Reacher 6DoF
SAC,46.19,0.14,45.93,Reacher 6DoF
TRPO,10.63,0.06,34.67,Reacher 6DoF
TD3,35.74,0.07,58.14,Reacher 6DoF
